{'exam_id': 'PHA20241109056', 'evaluator_id': '056VPEC', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 20, 'total_percentage': 0.8, 'result': 'True', 'filename': 'PHA20241109056_anonym_audio', 'start': 128, 'end': 200832, 'ex1_response-predicted': {'2': 0.25804540514945984, '3': 0.7419545650482178}, 'ex1_lexical-predicted': {'0': 0.11164018511772156, '1': 0.20193231105804443, '2': 0.316329687833786, '3': 0.3700978457927704}, 'ex1_grammar-predicted': {'0': 0.15791159868240356, '1': 0.24924996495246887, '2': 0.4301924407482147, '3': 0.16264604032039642}, 'ex2_response-predicted': {'1': 0.13804325461387634, '2': 0.41252365708351135, '3': 0.4494330585002899}, 'ex2_questions-predicted': {'0': 0.09747515618801117, '1': 0.11954575031995773, '2': 0.27324238419532776, '3': 0.5097367167472839}, 'ex2_lexical-predicted': {'0': 0.12199562788009644, '1': 0.23557651042938232, '2': 0.29751503467559814, '3': 0.3449128568172455}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.1629011482000351, '3': 0.5663641691207886, '4': 0.27073463797569275}, 'result-predicted': {'False': 0.24798743426799774, 'True': 0.7520125508308411}, 'ex2_grammar-predicted+prob': {'0': 3.4345239400863647, '1': 4.6333247274160385, '2': 8.5679652094841, '3': 6.3641862869262695}}
{'exam_id': 'PHA20241109081', 'evaluator_id': '272AHAL', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '1', 'ex2_response': '3', 'ex2_questions': '2', 'ex2_lexical': '2', 'ex2_grammar': '1', 'ex12_phoninter': '4', 'total_score': 19, 'total_percentage': 0.76, 'result': 'True', 'filename': 'PHA20241109081_anonym_audio', 'start': 128, 'end': 285008, 'ex1_response-predicted': {'2': 0.26473838090896606, '3': 0.7352616190910339}, 'ex1_lexical-predicted': {'0': 0.11183258146047592, '1': 0.18384137749671936, '2': 0.3711884915828705, '3': 0.3331376016139984}, 'ex1_grammar-predicted': {'0': 0.15439748764038086, '1': 0.2510213553905487, '2': 0.4149075746536255, '3': 0.17967358231544495}, 'ex2_response-predicted': {'1': 0.1172381117939949, '2': 0.4291534125804901, '3': 0.4536084234714508}, 'ex2_questions-predicted': {'0': 0.08345656841993332, '1': 0.11777886748313904, '2': 0.26168689131736755, '3': 0.5370777249336243}, 'ex2_lexical-predicted': {'0': 0.12361401319503784, '1': 0.17815296351909637, '2': 0.28472235798835754, '3': 0.4135107398033142}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.14393427968025208, '3': 0.5830556154251099, '4': 0.27301010489463806}, 'result-predicted': {'False': 0.20386599004268646, 'True': 0.7961340546607971}, 'ex2_grammar-predicted+prob': {'0': 2.2383639961481094, '1': 2.9215279668569565, '2': 5.865724295377731, '3': 3.974383920431137}}
{'exam_id': 'PHA20241109003', 'evaluator_id': '241TSTO', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '2', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 22, 'total_percentage': 0.88, 'result': 'True', 'filename': 'PHA20241109003_anonym_audio', 'start': 128, 'end': 314256, 'ex1_response-predicted': {'2': 0.2635993957519531, '3': 0.7364006042480469}, 'ex1_lexical-predicted': {'0': 0.11571226269006729, '1': 0.18168574571609497, '2': 0.3748941719532013, '3': 0.32770779728889465}, 'ex1_grammar-predicted': {'0': 0.1500091850757599, '1': 0.2590344548225403, '2': 0.4103638231754303, '3': 0.18059253692626953}, 'ex2_response-predicted': {'1': 0.11794465780258179, '2': 0.4077662229537964, '3': 0.47428908944129944}, 'ex2_questions-predicted': {'0': 0.08815231919288635, '1': 0.11844828724861145, '2': 0.25155210494995117, '3': 0.541847288608551}, 'ex2_lexical-predicted': {'0': 0.1282106637954712, '1': 0.18062953650951385, '2': 0.27829986810684204, '3': 0.41285988688468933}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.14876976609230042, '3': 0.5744851231575012, '4': 0.27674514055252075}, 'result-predicted': {'False': 0.20378674566745758, 'True': 0.7962132096290588}, 'ex2_grammar-predicted+prob': {'0': 5.031443014740944, '1': 6.42584453523159, '2': 12.61103469133377, '3': 8.931677982211113}}
{'exam_id': 'PHA20241109035', 'evaluator_id': '008JHYK', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '3', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 23, 'total_percentage': 0.92, 'result': 'True', 'filename': 'PHA20241109035_anonym_audio', 'start': 2560, 'end': 296208, 'ex1_response-predicted': {'2': 0.23196201026439667, '3': 0.7680380344390869}, 'ex1_lexical-predicted': {'0': 0.11570216715335846, '1': 0.175908625125885, '2': 0.32688015699386597, '3': 0.38150903582572937}, 'ex1_grammar-predicted': {'0': 0.15430057048797607, '1': 0.24679744243621826, '2': 0.43116477131843567, '3': 0.16773721575737}, 'ex2_response-predicted': {'1': 0.12013915181159973, '2': 0.39768972992897034, '3': 0.4821711480617523}, 'ex2_questions-predicted': {'0': 0.09075742214918137, '1': 0.10174279659986496, '2': 0.24057787656784058, '3': 0.5669218897819519}, 'ex2_lexical-predicted': {'0': 0.12163399159908295, '1': 0.18546968698501587, '2': 0.29987332224845886, '3': 0.39302295446395874}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.14097221195697784, '3': 0.5567398071289062, '4': 0.3022879958152771}, 'result-predicted': {'False': 0.21182416379451752, 'True': 0.7881758809089661}, 'ex2_grammar-predicted+prob': {'0': 3.7853799015283585, '1': 5.178518757224083, '2': 11.104753464460373, '3': 6.9313479363918304}}
{'exam_id': 'PHA20241109038', 'evaluator_id': '008JHYK', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 21, 'total_percentage': 0.84, 'result': 'True', 'filename': 'PHA20241109038_anonym_audio', 'start': 3920, 'end': 275136, 'ex1_response-predicted': {'2': 0.24117647111415863, '3': 0.7588235139846802}, 'ex1_lexical-predicted': {'0': 0.11755230277776718, '1': 0.175008162856102, '2': 0.3396509289741516, '3': 0.3677886128425598}, 'ex1_grammar-predicted': {'0': 0.14903871715068817, '1': 0.25102898478507996, '2': 0.439763605594635, '3': 0.16016869246959686}, 'ex2_response-predicted': {'1': 0.11429107189178467, '2': 0.44242197275161743, '3': 0.4432868957519531}, 'ex2_questions-predicted': {'0': 0.08418810367584229, '1': 0.09661643952131271, '2': 0.22879113256931305, '3': 0.5904042720794678}, 'ex2_lexical-predicted': {'0': 0.12028466165065765, '1': 0.1971091330051422, '2': 0.2973441779613495, '3': 0.38526198267936707}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.1496909260749817, '3': 0.5685250163078308, '4': 0.2817840278148651}, 'result-predicted': {'False': 0.21386933326721191, 'True': 0.7861306667327881}, 'ex2_grammar-predicted+prob': {'0': 3.717717632651329, '1': 5.148786172270775, '2': 10.580874651670456, '3': 6.552621468901634}}
{'exam_id': 'PHA20241109045', 'evaluator_id': '228IPAN', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '2', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 22, 'total_percentage': 0.88, 'result': 'True', 'filename': 'PHA20241109045_anonym_audio', 'start': 128, 'end': 312816, 'ex1_response-predicted': {'2': 0.29173699021339417, '3': 0.7082630395889282}, 'ex1_lexical-predicted': {'0': 0.1299562007188797, '1': 0.1770445704460144, '2': 0.36057689785957336, '3': 0.3324223756790161}, 'ex1_grammar-predicted': {'0': 0.18438711762428284, '1': 0.2466854602098465, '2': 0.40908071398735046, '3': 0.159846693277359}, 'ex2_response-predicted': {'1': 0.1460118442773819, '2': 0.41605058312416077, '3': 0.43793758749961853}, 'ex2_questions-predicted': {'0': 0.10581084340810776, '1': 0.13343128561973572, '2': 0.2522517144680023, '3': 0.5085061192512512}, 'ex2_lexical-predicted': {'0': 0.1273440718650818, '1': 0.2005605697631836, '2': 0.3077281713485718, '3': 0.36436718702316284}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.19649650156497955, '3': 0.5337417721748352, '4': 0.26976174116134644}, 'result-predicted': {'False': 0.281060129404068, 'True': 0.7189398407936096}, 'ex2_grammar-predicted+prob': {'0': 2.6233743876218796, '1': 3.697731152176857, '2': 7.35694545507431, '3': 5.321949243545532}}
{'exam_id': 'PHA20241109040', 'evaluator_id': '228IPAN', 'ex1_response': '2', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '1', 'ex12_phoninter': '2', 'total_score': 16, 'total_percentage': 0.64, 'result': 'True', 'filename': 'PHA20241109040_anonym_audio', 'start': 128, 'end': 239344, 'ex1_response-predicted': {'2': 0.4542754292488098, '3': 0.5457245111465454}, 'ex1_lexical-predicted': {'0': 0.16535164415836334, '1': 0.3050205111503601, '2': 0.2770809233188629, '3': 0.2525469660758972}, 'ex1_grammar-predicted': {'0': 0.23533174395561218, '1': 0.2754751443862915, '2': 0.28944531083106995, '3': 0.19974783062934875}, 'ex2_response-predicted': {'1': 0.20785890519618988, '2': 0.4655669629573822, '3': 0.3265741467475891}, 'ex2_questions-predicted': {'0': 0.1534334272146225, '1': 0.16642846167087555, '2': 0.3612130582332611, '3': 0.31892508268356323}, 'ex2_lexical-predicted': {'0': 0.16799648106098175, '1': 0.2752939760684967, '2': 0.2685559391975403, '3': 0.28815364837646484}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.2978192865848541, '3': 0.47172051668167114, '4': 0.23046019673347473}, 'result-predicted': {'False': 0.4707517921924591, 'True': 0.5292481780052185}, 'ex2_grammar-predicted+prob': {'0': 7.138788595795631, '1': 7.014793634414673, '2': 12.776638865470886, '3': 8.069778576493263}}
{'exam_id': 'PHA20241109055', 'evaluator_id': '056VPEC', 'ex1_response': '2', 'ex1_lexical': '2', 'ex1_grammar': '1', 'ex2_response': '2', 'ex2_questions': '1', 'ex2_lexical': '1', 'ex2_grammar': '1', 'ex12_phoninter': '3', 'total_score': 13, 'total_percentage': 0.52, 'result': 'False', 'filename': 'PHA20241109055_anonym_audio', 'start': 128, 'end': 284128, 'ex1_response-predicted': {'2': 0.42781874537467957, '3': 0.572181224822998}, 'ex1_lexical-predicted': {'0': 0.16375744342803955, '1': 0.27343985438346863, '2': 0.3122780919075012, '3': 0.250524640083313}, 'ex1_grammar-predicted': {'0': 0.22673355042934418, '1': 0.2769363522529602, '2': 0.30471253395080566, '3': 0.19161757826805115}, 'ex2_response-predicted': {'1': 0.19271115958690643, '2': 0.45279550552368164, '3': 0.3544933795928955}, 'ex2_questions-predicted': {'0': 0.13097693026065826, '1': 0.1503492146730423, '2': 0.3214912712574005, '3': 0.3971826136112213}, 'ex2_lexical-predicted': {'0': 0.1682734191417694, '1': 0.27260178327560425, '2': 0.2523309290409088, '3': 0.30679386854171753}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.24242787063121796, '3': 0.4846035838127136, '4': 0.2729685604572296}, 'result-predicted': {'False': 0.41294437646865845, 'True': 0.5870556235313416}, 'ex2_grammar-predicted+prob': {'0': 6.700927168130875, '1': 6.228452652692795, '2': 10.197591215372086, '3': 7.873028814792633}}
{'exam_id': 'PHA20241109060', 'evaluator_id': '003MSVR', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '0', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '1', 'ex12_phoninter': '3', 'total_score': 16, 'total_percentage': 0.64, 'result': 'True', 'filename': 'PHA20241109060_anonym_audio', 'start': 128, 'end': 257983, 'ex1_response-predicted': {'2': 0.4253217279911041, '3': 0.5746782422065735}, 'ex1_lexical-predicted': {'0': 0.1564600020647049, '1': 0.2793290317058563, '2': 0.30581074953079224, '3': 0.25840017199516296}, 'ex1_grammar-predicted': {'0': 0.22140748798847198, '1': 0.26477381587028503, '2': 0.315568208694458, '3': 0.1982504427433014}, 'ex2_response-predicted': {'1': 0.17780715227127075, '2': 0.4776989817619324, '3': 0.34449395537376404}, 'ex2_questions-predicted': {'0': 0.13607588410377502, '1': 0.15785080194473267, '2': 0.33400699496269226, '3': 0.37206631898880005}, 'ex2_lexical-predicted': {'0': 0.1637846827507019, '1': 0.28773191571235657, '2': 0.2616632878780365, '3': 0.2868201434612274}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.27381253242492676, '3': 0.4880044460296631, '4': 0.23818300664424896}, 'result-predicted': {'False': 0.4699345529079437, 'True': 0.5300654768943787}, 'ex2_grammar-predicted+prob': {'0': 9.176005810499191, '1': 8.50553546845913, '2': 13.211953669786453, '3': 10.106505215168}}
{'exam_id': 'PHA20241109063', 'evaluator_id': '003MSVR', 'ex1_response': '3', 'ex1_lexical': '1', 'ex1_grammar': '0', 'ex2_response': '2', 'ex2_questions': '2', 'ex2_lexical': '2', 'ex2_grammar': '1', 'ex12_phoninter': '2', 'total_score': 13, 'total_percentage': 0.52, 'result': 'False', 'filename': 'PHA20241109063_anonym_audio', 'start': 128, 'end': 287920, 'ex1_response-predicted': {'2': 0.2626999616622925, '3': 0.7373000979423523}, 'ex1_lexical-predicted': {'0': 0.12635083496570587, '1': 0.19975073635578156, '2': 0.34784525632858276, '3': 0.3260531723499298}, 'ex1_grammar-predicted': {'0': 0.13839630782604218, '1': 0.25917452573776245, '2': 0.4235932230949402, '3': 0.17883595824241638}, 'ex2_response-predicted': {'1': 0.12343697994947433, '2': 0.4343225359916687, '3': 0.44224050641059875}, 'ex2_questions-predicted': {'0': 0.08786381036043167, '1': 0.12074236571788788, '2': 0.2815580666065216, '3': 0.5098358392715454}, 'ex2_lexical-predicted': {'0': 0.11238295584917068, '1': 0.21547000110149384, '2': 0.31166592240333557, '3': 0.3604811429977417}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.15815311670303345, '3': 0.575401246547699, '4': 0.2664456069469452}, 'result-predicted': {'False': 0.2351084053516388, 'True': 0.7648916244506836}, 'ex2_grammar-predicted+prob': {'0': 4.258792877197266, '1': 5.339984402060509, '2': 12.570521116256714, '3': 7.8307018876075745}}
{'exam_id': 'PHA20241109022', 'evaluator_id': '228IPAN', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '3', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 24, 'total_percentage': 0.96, 'result': 'True', 'filename': 'PHA20241109022_anonym_audio', 'start': 6352, 'end': 226016, 'ex1_response-predicted': {'2': 0.25748491287231445, '3': 0.7425150871276855}, 'ex1_lexical-predicted': {'0': 0.11569290608167648, '1': 0.18397623300552368, '2': 0.37657421827316284, '3': 0.3237566351890564}, 'ex1_grammar-predicted': {'0': 0.1384124755859375, '1': 0.2596006393432617, '2': 0.42199113965034485, '3': 0.17999579012393951}, 'ex2_response-predicted': {'1': 0.11838105320930481, '2': 0.41898059844970703, '3': 0.46263837814331055}, 'ex2_questions-predicted': {'0': 0.090762659907341, '1': 0.11268051713705063, '2': 0.2616065740585327, '3': 0.5349502563476562}, 'ex2_lexical-predicted': {'0': 0.11520218104124069, '1': 0.20431986451148987, '2': 0.2952944338321686, '3': 0.38518354296684265}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.14518000185489655, '3': 0.5889639854431152, '4': 0.2658560276031494}, 'result-predicted': {'False': 0.22592855989933014, 'True': 0.774071455001831}, 'ex2_grammar-predicted+prob': {'0': 3.05978100001812, '1': 3.878838926553726, '2': 9.105358183383942, '3': 5.956021696329117}}
{'exam_id': 'PHA20241109036', 'evaluator_id': '228IPAN', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '2', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 23, 'total_percentage': 0.92, 'result': 'True', 'filename': 'PHA20241109036_anonym_audio', 'start': 128, 'end': 284864, 'ex1_response-predicted': {'2': 0.24685092270374298, '3': 0.7531490325927734}, 'ex1_lexical-predicted': {'0': 0.11456026136875153, '1': 0.18663187325000763, '2': 0.3732518255710602, '3': 0.32555606961250305}, 'ex1_grammar-predicted': {'0': 0.14858466386795044, '1': 0.2465948611497879, '2': 0.4347997009754181, '3': 0.17002078890800476}, 'ex2_response-predicted': {'1': 0.1173863485455513, '2': 0.4160691499710083, '3': 0.4665444791316986}, 'ex2_questions-predicted': {'0': 0.0831109881401062, '1': 0.1136547327041626, '2': 0.26444879174232483, '3': 0.5387855172157288}, 'ex2_lexical-predicted': {'0': 0.11467185616493225, '1': 0.20003075897693634, '2': 0.2992571294307709, '3': 0.3860403001308441}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.14784397184848785, '3': 0.5875963568687439, '4': 0.26455962657928467}, 'result-predicted': {'False': 0.22764098644256592, 'True': 0.7723590135574341}, 'ex2_grammar-predicted+prob': {'0': 2.901000037789345, '1': 3.683326929807663, '2': 8.759467661380768, '3': 5.656205356121063}}
{'exam_id': 'PHA20241109082', 'evaluator_id': '272AHAL', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '3', 'ex2_response': '3', 'ex2_questions': '2', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '4', 'total_score': 24, 'total_percentage': 0.96, 'result': 'True', 'filename': 'PHA20241109082_anonym_audio', 'start': 128, 'end': 315744, 'ex1_response-predicted': {'2': 0.24386745691299438, '3': 0.7561324834823608}, 'ex1_lexical-predicted': {'0': 0.11911606043577194, '1': 0.1746934950351715, '2': 0.34107428789138794, '3': 0.365116149187088}, 'ex1_grammar-predicted': {'0': 0.15603923797607422, '1': 0.23036488890647888, '2': 0.46132001280784607, '3': 0.15227583050727844}, 'ex2_response-predicted': {'1': 0.12568299472332, '2': 0.3988350033760071, '3': 0.4754820168018341}, 'ex2_questions-predicted': {'0': 0.09692348539829254, '1': 0.10728451609611511, '2': 0.21326309442520142, '3': 0.5825289487838745}, 'ex2_lexical-predicted': {'0': 0.1287153661251068, '1': 0.18930239975452423, '2': 0.2948842942714691, '3': 0.38709795475006104}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.158047154545784, '3': 0.5745946764945984, '4': 0.2673581838607788}, 'result-predicted': {'False': 0.18735560774803162, 'True': 0.8126444220542908}, 'ex2_grammar-predicted+prob': {'0': 3.5553571581840515, '1': 4.373424053192139, '2': 10.33234789967537, '3': 7.738870918750763}}
{'exam_id': 'PHA20241109051', 'evaluator_id': '008JHYK', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '0', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '1', 'ex12_phoninter': '3', 'total_score': 16, 'total_percentage': 0.64, 'result': 'True', 'filename': 'PHA20241109051_anonym_audio', 'start': 5989344, 'end': 6297168, 'ex1_response-predicted': {'2': 0.26246359944343567, '3': 0.7375364303588867}, 'ex1_lexical-predicted': {'0': 0.13088931143283844, '1': 0.1983800083398819, '2': 0.3873438835144043, '3': 0.28338682651519775}, 'ex1_grammar-predicted': {'0': 0.1690378040075302, '1': 0.24484767019748688, '2': 0.4377020597457886, '3': 0.14841248095035553}, 'ex2_response-predicted': {'1': 0.13617266714572906, '2': 0.4688354432582855, '3': 0.39499184489250183}, 'ex2_questions-predicted': {'0': 0.09572356194257736, '1': 0.10154951363801956, '2': 0.2598862051963806, '3': 0.5428407788276672}, 'ex2_lexical-predicted': {'0': 0.1287107765674591, '1': 0.21074964106082916, '2': 0.3386940360069275, '3': 0.32184553146362305}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.18629425764083862, '3': 0.565758466720581, '4': 0.24794726073741913}, 'result-predicted': {'False': 0.27125170826911926, 'True': 0.7287483215332031}, 'ex2_grammar-predicted+prob': {'0': 0.7396010309457779, '1': 0.9299041330814362, '2': 1.8706368207931519, '3': 1.459858000278473}}
{'exam_id': 'PHA20241109062', 'evaluator_id': '003MSVR', 'ex1_response': '3', 'ex1_lexical': '1', 'ex1_grammar': '1', 'ex2_response': '2', 'ex2_questions': '2', 'ex2_lexical': '1', 'ex2_grammar': '0', 'ex12_phoninter': '2', 'total_score': 12, 'total_percentage': 0.48, 'result': 'False', 'filename': 'PHA20241109062_anonym_audio', 'start': 2288, 'end': 312800, 'ex1_response-predicted': {'2': 0.2677909731864929, '3': 0.7322090864181519}, 'ex1_lexical-predicted': {'0': 0.11193631589412689, '1': 0.19640639424324036, '2': 0.3797867000102997, '3': 0.31187060475349426}, 'ex1_grammar-predicted': {'0': 0.15347051620483398, '1': 0.2535402774810791, '2': 0.4316815733909607, '3': 0.16130763292312622}, 'ex2_response-predicted': {'1': 0.12405341118574142, '2': 0.428885817527771, '3': 0.44706082344055176}, 'ex2_questions-predicted': {'0': 0.08469566702842712, '1': 0.1063878983259201, '2': 0.25229960680007935, '3': 0.5566167831420898}, 'ex2_lexical-predicted': {'0': 0.12820546329021454, '1': 0.1767398864030838, '2': 0.3330271542072296, '3': 0.36202746629714966}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.15792305767536163, '3': 0.5560715794563293, '4': 0.2860053479671478}, 'result-predicted': {'False': 0.2312668263912201, 'True': 0.7687332034111023}, 'ex2_grammar-predicted+prob': {'0': 3.8242138400673866, '1': 6.008060470223427, '2': 11.242887198925018, '3': 7.924838870763779}}
{'exam_id': 'PHA20241109016', 'evaluator_id': '228IPAN', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 21, 'total_percentage': 0.84, 'result': 'True', 'filename': 'PHA20241109016_anonym_audio', 'start': 128, 'end': 198064, 'ex1_response-predicted': {'2': 0.2979804277420044, '3': 0.7020196318626404}, 'ex1_lexical-predicted': {'0': 0.1382487267255783, '1': 0.2131458818912506, '2': 0.3284987211227417, '3': 0.3201065957546234}, 'ex1_grammar-predicted': {'0': 0.17490412294864655, '1': 0.2508446276187897, '2': 0.39242419600486755, '3': 0.181827113032341}, 'ex2_response-predicted': {'1': 0.14861899614334106, '2': 0.43109452724456787, '3': 0.42028653621673584}, 'ex2_questions-predicted': {'0': 0.12593436241149902, '1': 0.10984192043542862, '2': 0.3040246069431305, '3': 0.46019917726516724}, 'ex2_lexical-predicted': {'0': 0.14006507396697998, '1': 0.21978913247585297, '2': 0.3613550364971161, '3': 0.27879074215888977}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.1864292174577713, '3': 0.539187490940094, '4': 0.2743833363056183}, 'result-predicted': {'False': 0.2962977886199951, 'True': 0.7037022113800049}, 'ex2_grammar-predicted+prob': {'0': 4.794689491391182, '1': 6.887075439095497, '2': 12.036515146493912, '3': 8.281720012426376}}
{'exam_id': 'PHA20241109021', 'evaluator_id': '228IPAN', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '3', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 24, 'total_percentage': 0.96, 'result': 'True', 'filename': 'PHA20241109021_anonym_audio', 'start': 2832, 'end': 277856, 'ex1_response-predicted': {'2': 0.2749350070953369, '3': 0.7250649929046631}, 'ex1_lexical-predicted': {'0': 0.12954531610012054, '1': 0.20226673781871796, '2': 0.3331559896469116, '3': 0.33503198623657227}, 'ex1_grammar-predicted': {'0': 0.17027181386947632, '1': 0.25405287742614746, '2': 0.40885990858078003, '3': 0.16681545972824097}, 'ex2_response-predicted': {'1': 0.13318048417568207, '2': 0.41770341992378235, '3': 0.4491160809993744}, 'ex2_questions-predicted': {'0': 0.11273957043886185, '1': 0.10518749803304672, '2': 0.2945019006729126, '3': 0.48757097125053406}, 'ex2_lexical-predicted': {'0': 0.134268119931221, '1': 0.20518480241298676, '2': 0.3492015600204468, '3': 0.31134548783302307}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.17865480482578278, '3': 0.5336252450942993, '4': 0.2877199053764343}, 'result-predicted': {'False': 0.2577650845050812, 'True': 0.7422349452972412}, 'ex2_grammar-predicted+prob': {'0': 3.1462465077638626, '1': 4.4580327570438385, '2': 7.956861287355423, '3': 5.4388594925403595}}
{'exam_id': 'PHA20241109030', 'evaluator_id': '228IPAN', 'ex1_response': '2', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '1', 'ex12_phoninter': '2', 'total_score': 16, 'total_percentage': 0.64, 'result': 'True', 'filename': 'PHA20241109030_anonym_audio', 'start': 128, 'end': 268144, 'ex1_response-predicted': {'2': 0.23528404533863068, '3': 0.7647159099578857}, 'ex1_lexical-predicted': {'0': 0.11333707720041275, '1': 0.19645141065120697, '2': 0.33630308508872986, '3': 0.3539084196090698}, 'ex1_grammar-predicted': {'0': 0.16690826416015625, '1': 0.2607628107070923, '2': 0.40928712487220764, '3': 0.1630418300628662}, 'ex2_response-predicted': {'1': 0.12576857209205627, '2': 0.4230871796607971, '3': 0.4511442482471466}, 'ex2_questions-predicted': {'0': 0.09292657673358917, '1': 0.11486112326383591, '2': 0.2806977331638336, '3': 0.5115146040916443}, 'ex2_lexical-predicted': {'0': 0.11372049897909164, '1': 0.2194831371307373, '2': 0.2942851781845093, '3': 0.37251120805740356}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.14199891686439514, '3': 0.5911613702774048, '4': 0.26683977246284485}, 'result-predicted': {'False': 0.2546016275882721, 'True': 0.7453983426094055}, 'ex2_grammar-predicted+prob': {'0': 4.358890190720558, '1': 5.631971716880798, '2': 11.968693107366562, '3': 8.040445178747177}}
